model,alg,rabinpairorder,workers,buchi,ltl,errmsg,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,autsize,rabinpairs,ftrans,formula,hoa
bopdp.3_091,ufscc,-1,16,tgba,-1,OK,1.280,2018-05-14.19:15:27,1023793,1040953,2747410,1238776,3354654,4,1920451,11733,1234914,2286,5,1,-1,-1,-1
bopdp.3_093,favoid,-1,16,rabinizer3,-1,OK,14.200,2018-05-14.19:15:45,4179676,4179676,11040064,12690454,12690454,0,0,0,12690454,16,4,4,4179672,-1,-1
bopdp.3_094,favoid,-1,16,rabinizer3,10,OK,1.270,2018-05-14.19:15:49,1023794,1041213,2747914,1213030,3274998,2,1884621,12630,1208262,3147,4,3,4,-1,-1
bopdp.3_095,favoid,-1,16,ltl3tela,-1,OK,7.440,2018-05-14.19:15:59,2081906,2081906,5494820,6487685,6694537,0,141834,0,6487685,361,7,2,2034944,-1,-1
bopdp.3_096,favoid,-1,16,ltl3tela,10,OK,0.090,2018-05-14.19:16:06,0,263,514,437,870,0,0,1,437,437,4,2,0,-1,-1
bopdp.3_097,favoid,-1,16,finless,-1,OK,1.030,2018-05-14.19:16:14,41094,41094,86498,69537,165911,0,70074,0,69537,611,6,2,0,-1,-1
bopdp.3_097,favoid,-1,16,ltl3dra,-1,OK,7.600,2018-05-14.19:16:25,2103114,2103114,5531514,6879930,6890849,0,7786,0,6879930,555,5,2,2092152,-1,-1
bopdp.3_097,favoid,-1,16,ltl3tela,-1,OK,1.030,2018-05-14.19:16:28,21922,21922,33362,35309,57943,0,14921,0,35309,561,4,2,2482,-1,-1
bopdp.3_098,favoid,-1,16,rabinizer3,10,OK,1.260,2018-05-14.19:16:37,1023794,1041559,2748594,1254316,3421494,5,1947959,12378,1249563,3238,9,4,4,-1,-1
bopdp.3_099,favoid,-1,16,ltl3dra,-1,OK,7.220,2018-05-14.19:16:49,2103114,2103114,5531514,6347652,6358888,0,8061,0,6347652,550,4,2,2092152,-1,-1
bopdp.3_099,favoid,-1,16,rabinizer3,-1,OK,8.350,2018-05-14.19:17:00,2103114,2103114,5531514,7025513,7039441,0,9125,0,7025513,571,4,2,2092152,-1,-1
bopdp.3_100,favoid,-1,16,finless,10,OK,4.000,2018-05-14.19:17:07,6242820,6346151,25079351,7416251,30100842,15,20810992,72305,7386490,3022,5,4,0,-1,-1
